,역사_ID,역사명,호선,위도,경도,주소
0,9996,미사,5호선,127.193877,37.560927,경기도 하남시 망월동
1,9995,강일,5호선,127.17593,37.55749,서울특별시 강동구 강일동
2,4929,김포공항,김포골드라인,126.801868,37.56236,서울특별시 강서구 방화동
3,4928,고촌,김포골드라인,126.770345,37.601243,경기도 김포시 고촌읍 신곡리
4,4927,풍무,김포골드라인,126.732387,37.612488,경기도 김포시 사우동
5,4926,사우(김포시청),김포골드라인,126.719731,37.620249,경기도 김포시 사우동
6,4925,걸포북변,김포골드라인,126.705975,37.63165,경기도 김포시 북변동
7,4924,운양,김포골드라인,126.68393,37.653867,경기도 김포시 운양동
8,4923,장기,김포골드라인,126.669017,37.643986,경기도 김포시 장기동
9,4922,마산,김포골드라인,126.644344,37.640732,경기도 김포시 마산동
10,4921,구래,김포골드라인,126.628633,37.645384,경기도 김포시 구래동
11,4920,양촌,김포골드라인,126.614309,37.642379,경기도 김포시 양촌읍 유현리
12,4815,원시,서해선,126.786691,37.302371,경기도 안산시 단원구 원시동
13,4814,원곡,서해선,126.796261,37.31321,경기도 안산시 단원구 원시동
14,4813,초지,서해선,126.808147,37.319619,경기도 안산시 단원구 초지동
15,4812,선부,서해선,126.809904,37.334353,경기도 안산시 단원구 선부동
16,4811,달미,서해선,126.809409,37.348847,경기도 안산시 단원구 선부동
17,4810,시흥능곡,서해선,126.808573,37.369864,경기도 시흥시 능곡동
18,4809,시흥시청,서해선,126.805625,37.382223,경기도 시흥시 장현동
19,4808,신현,서해선,126.788017,37.409008,경기도 시흥시 미산동
20,4807,신천,서해선,126.786788,37.439066,경기도 시흥시 신천동
21,4806,시흥대야,서해선,126.793041,37.450145,경기도 시흥시 대야동
22,4805,소새울,서해선,126.797252,37.468467,경기도 부천시 소사본동
23,4804,소사,서해선,126.795023,37.483279,경기도 부천시 소사동
24,4713,신설동,우이신설선,127.023242,37.576095,서울특별시 동대문구 신설동
25,4712,보문,우이신설선,127.019381,37.585286,서울특별시 성북구 보문동2가
26,4711,성신여대입구(돈암),우이신설선,127.016516,37.592467,서울특별시 성북구 동소문동5가
27,4710,정릉,우이신설선,127.013396,37.603133,서울특별시 성북구 정릉동
28,4709,북한산보국문,우이신설선,127.008251,37.612072,서울특별시 성북구 정릉동
29,4708,솔샘,우이신설선,127.013626,37.620238,서울특별시 강북구 미아동
30,4707,삼양사거리,우이신설선,127.020473,37.621337,서울특별시 강북구 미아동
31,4706,삼양,우이신설선,127.018106,37.626914,서울특별시 강북구 미아동
32,4705,화계,우이신설선,127.017511,37.634133,서울특별시 강북구 수유동
33,4704,가오리,우이신설선,127.016789,37.641537,서울특별시 강북구 수유동
34,4703,4.19민주묘지,우이신설선,127.013684,37.649502,서울특별시 강북구 우이동
35,4702,솔밭공원,우이신설선,127.013273,37.65603,서울특별시 강북구 우이동
36,4701,북한산우이,우이신설선,127.012706,37.662909,서울특별시 강북구 우이동
37,4615,탑석,의정부선,127.088704,37.733579,경기도 의정부시 용현동
38,4614,송산,의정부선,127.087159,37.737279,경기도 의정부시 용현동
39,4613,어룡,의정부선,127.085035,37.742802,경기도 의정부시 용현동
40,4612,곤제,의정부선,127.083715,37.750471,경기도 의정부시 낙양동
41,4611,효자,의정부선,127.076902,37.754025,경기도 의정부시 신곡동
42,4610,경기도청북부청사,의정부선,127.071495,37.75059,경기도 의정부시 신곡동
43,4609,새말,의정부선,127.06362,37.748885,경기도 의정부시 신곡동
44,4608,동오,의정부선,127.056947,37.745271,경기도 의정부시 신곡동
45,4607,의정부중앙,의정부선,127.049565,37.743676,경기도 의정부시 의정부동
46,4606,흥선,의정부선,127.037023,37.743302,경기도 의정부시 가능동
47,4605,의정부시청,의정부선,127.034781,37.739256,경기도 의정부시 의정부동
48,4604,경전철의정부,의정부선,127.043257,37.737202,경기도 의정부시 의정부동
49,4603,범골,의정부선,127.04353,37.728755,경기도 의정부시 호원동
50,4602,회룡,의정부선,127.047073,37.725006,경기도 의정부시 호원동
51,4601,발곡,의정부선,127.052803,37.727048,경기도 의정부시 신곡동
52,4517,전대.에버랜드,에버라인선,127.219561,37.285342,경기도 용인시 처인구 포곡읍 전대리
53,4515,둔전,에버라인선,127.21364,37.267051,경기도 용인시 처인구 포곡읍 둔전리
54,4514,보평,에버라인선,127.218457,37.258965,경기도 용인시 처인구 유방동
55,4513,고진,에버라인선,127.214251,37.24484,경기도 용인시 처인구 유방동
56,4512,운동장.송담대,에버라인선,127.209198,37.237845,경기도 용인시 처인구 김량장동
57,4511,김량장,에버라인선,127.198781,37.237247,경기도 용인시 처인구 김량장동
58,4510,명지대,에버라인선,127.190294,37.237964,경기도 용인시 처인구 역북동
59,4509,시청.용인대,에버라인선,127.178406,37.239151,경기도 용인시 처인구 삼가동
60,4508,삼가,에버라인선,127.168075,37.242115,경기도 용인시 처인구 삼가동
61,4506,초당,에버라인선,127.159443,37.260752,경기도 용인시 기흥구 중동
62,4505,동백,에버라인선,127.152716,37.269043,경기도 용인시 기흥구 중동
63,4504,어정,에버라인선,127.143714,37.274917,경기도 용인시 기흥구 상하동
64,4503,지석,에버라인선,127.136515,37.269606,경기도 용인시 기흥구 상하동
65,4502,강남대,에버라인선,127.126033,37.270161,경기도 용인시 기흥구 구갈동
66,4501,기흥,에버라인선,127.116665,37.275449,경기도 용인시 기흥구 구갈동
67,4319,광교(경기대),신분당선(연장),127.044483,37.30211,경기도 수원시 영통구 이의동
68,4318,광교중앙(아주대),신분당선(연장),127.051478,37.288617,경기도 수원시 영통구 이의동
69,4317,상현,신분당선(연장),127.069342,37.297664,경기도 용인시 수지구 상현동
70,4316,성복,신분당선(연장),127.0801,37.313335,경기도 용인시 수지구 성복동
71,4315,수지구청,신분당선(연장),127.095026,37.322702,경기도 용인시 수지구 풍덕천동
72,4314,동천,신분당선(연장),127.102976,37.337928,경기도 용인시 수지구 동천동
73,4313,미금,신분당선(연장),127.108918,37.349982,경기도 성남시 분당구 구미동
74,4312,정자,신분당선,127.108403,37.367098,경기도 성남시 분당구 정자동
75,4311,판교,신분당선,127.112217,37.394761,경기도 성남시 분당구 백현동
76,4310,청계산입구,신분당선,127.055664,37.447211,서울특별시 서초구 신원동
77,4309,양재시민의숲(매헌),신분당선,127.03842,37.470023,서울특별시 서초구 양재동
78,4308,양재(서초구청),신분당선,127.034653,37.483809,서울특별시 서초구 양재동
79,4307,강남,신분당선,127.028104,37.496837,서울특별시 서초구 서초동
80,4217,영종,공항철도1호선,126.524254,37.51202,인천광역시 중구 운북동
81,4215,인천공항2터미널,공항철도1호선,126.441442,37.460699,인천광역시 중구 운서동
82,4213,인천공항1터미널,공항철도1호선,126.452508,37.447464,인천광역시 중구 운서동
83,4212,공항화물청사,공항철도1호선,126.477516,37.459041,인천광역시 중구 운서동
84,4211,운서,공항철도1호선,126.49379,37.492904,인천광역시 중구 운서동
85,4210,청라국제도시,공항철도1호선,126.624648,37.556409,인천광역시 서구 청라동
86,4209,검암,공항철도1호선,126.674007,37.569098,인천광역시 서구 검암동
87,4208,계양,공항철도1호선,126.7363,37.571662,인천광역시 계양구 귤현동
88,4207,김포공항,공항철도1호선,126.801904,37.561842,서울특별시 강서구 방화동
89,4206,마곡나루,공항철도1호선,126.827378,37.565543,서울특별시 강서구 마곡동
90,4204,디지털미디어시티,공항철도1호선,126.898609,37.576958,서울특별시 마포구 상암동
91,4203,홍대입구,공항철도1호선,126.926715,37.557438,서울특별시 마포구 동교동
92,4202,공덕,공항철도1호선,126.952024,37.54253,서울특별시 마포구 도화동
93,4201,서울역,공항철도1호선,126.969769,37.553247,서울특별시 용산구 동자동
94,4138,중앙보훈병원,9호선(연장),127.148739,37.529191,서울특별시 강동구 둔촌동
95,4137,둔촌오륜,9호선(연장),127.137989,37.519683,서울특별시 강동구 둔촌동
96,4136,올림픽공원(한국체대),9호선(연장),127.130288,37.516269,서울특별시 송파구 방이동
97,4135,한성백제,9호선(연장),127.116503,37.516404,서울특별시 송파구 방이동
98,4134,송파나루,9호선(연장),127.112216,37.510372,서울특별시 송파구 방이동
99,4133,석촌,9호선(연장),127.10704,37.505208,서울특별시 송파구 석촌동
100,4132,석촌고분,9호선(연장),127.097033,37.502558,서울특별시 송파구 석촌동
101,4131,삼전,9호선(연장),127.088025,37.504738,서울특별시 송파구 잠실동
102,4130,종합운동장,9호선(연장),127.076275,37.511426,서울특별시 송파구 잠실동
103,4129,봉은사,9호선(연장),127.060245,37.514219,서울특별시 강남구 삼성동
104,4128,삼성중앙,9호선(연장),127.053282,37.513011,서울특별시 강남구 삼성동
105,4127,선정릉,9호선(연장),127.043999,37.510297,서울특별시 강남구 삼성동
106,4126,언주,9호선(연장),127.033868,37.507287,서울특별시 강남구 역삼동
107,4125,신논현,9호선,127.02506,37.504598,서울특별시 강남구 역삼동
108,4124,사평,9호선,127.015259,37.504206,서울특별시 서초구 반포동
109,4123,고속터미널,9호선,127.004403,37.50598,서울특별시 서초구 반포동
110,4122,신반포,9호선,126.995925,37.503415,서울특별시 서초구 반포동
111,4121,구반포,9호선,126.987332,37.501364,서울특별시 서초구 반포동
112,4120,동작(현충원),9호선,126.978153,37.502878,서울특별시 동작구 동작동
113,4119,흑석(중앙대입구),9호선,126.963708,37.50877,서울특별시 동작구 흑석동
114,4118,노들,9호선,126.953222,37.512887,서울특별시 동작구 본동
115,4117,노량진,9호선,126.941005,37.513534,서울특별시 동작구 노량진동
116,4116,샛강,9호선,126.928422,37.517274,서울특별시 영등포구 여의도동
117,4115,여의도,9호선,126.92403,37.52176,서울특별시 영등포구 여의도동
118,4114,국회의사당,9호선,126.917874,37.528105,서울특별시 영등포구 여의도동
119,4113,당산,9호선,126.902809,37.533406,서울특별시 영등포구 당산동5가
120,4112,선유도,9호선,126.893525,37.53802,서울특별시 영등포구 양평동5가
121,4111,신목동,9호선,126.88308,37.544277,서울특별시 양천구 목동
122,4110,염창,9호선,126.874916,37.546936,서울특별시 양천구 목동
123,4109,등촌,9호선,126.865689,37.550632,서울특별시 양천구 목동
124,4108,증미,9호선,126.861939,37.557402,서울특별시 강서구 등촌동
125,4107,가양,9호선,126.854456,37.561391,서울특별시 강서구 등촌동
126,4106,양천향교,9호선,126.841333,37.568381,서울특별시 강서구 가양동
127,4105,마곡나루,9호선,126.82731,37.566778,서울특별시 강서구 마곡동
128,4104,신방화,9호선,126.816601,37.567532,서울특별시 강서구 방화동
129,4103,공항시장,9호선,126.810678,37.563726,서울특별시 강서구 공항동
130,4102,김포공항,9호선,126.802152,37.561916,서울특별시 강서구 방화동
131,4101,개화,9호선,126.798153,37.578608,서울특별시 강서구 개화동
132,3763,석남(거북시장),7호선,126.6762813,37.5062285,인천광역시 서구 석남동
133,3762,산곡,7호선,126.7035277,37.5086,인천광역시 부평구 산곡동
134,3227,운연(서창),인천2호선,126.75997,37.440127,인천광역시 남동구 운연동
135,3226,인천대공원,인천2호선,126.752618,37.448769,인천광역시 남동구 장수동
136,3225,남동구청,인천2호선,126.736939,37.448161,인천광역시 남동구 만수동
137,3224,만수,인천2호선,126.732094,37.454911,인천광역시 남동구 만수동
138,3223,모래내시장,인천2호선,126.719298,37.45583,인천광역시 남동구 구월동
139,3222,석천사거리,인천2호선,126.709986,37.456805,인천광역시 남동구 구월동
140,3221,인천시청,인천2호선,126.701306,37.456833,인천광역시 남동구 간석동
141,3220,석바위시장,인천2호선,126.692575,37.457611,인천광역시 미추홀구 주안동
142,3219,시민공원(문화창작지대),인천2호선,126.681192,37.458335,인천광역시 미추홀구 주안동
143,3218,주안,인천2호선,126.679098,37.464992,인천광역시 미추홀구 주안동
144,3217,주안국가산단,인천2호선,126.68113,37.473703,인천광역시 미추홀구 주안동
145,3216,가재울,인천2호선,126.683673,37.484192,인천광역시 서구 가좌동
146,3215,인천가좌,인천2호선,126.675208,37.4897,인천광역시 서구 가좌동
147,3214,서부여성회관,인천2호선,126.675795,37.500168,인천광역시 서구 석남동
148,3213,석남(거북시장),인천2호선,126.676203,37.506193,인천광역시 서구 석남동
149,3212,가정중앙시장,인천2호선,126.676672,37.517054,인천광역시 서구 가정동
150,3211,가정(루원시티),인천2호선,126.675539,37.524649,인천광역시 서구 가정동
151,3210,서구청,인천2호선,126.676787,37.543742,인천광역시 서구 심곡동
152,3209,아시아드경기장(공촌사거리),인천2호선,126.677122,37.5517,인천광역시 서구 연희동
153,3208,검바위,인천2호선,126.677566,37.561405,인천광역시 서구 검암동
154,3207,검암,인천2호선,126.675687,37.56866,인천광역시 서구 검암동
155,3206,독정,인천2호선,126.675844,37.585212,인천광역시 서구 백석동
156,3205,완정,인천2호선,126.673203,37.592928,인천광역시 서구 당하동
157,3204,마전,인천2호선,126.666998,37.597566,인천광역시 서구 마전동
158,3203,검단사거리,인천2호선,126.657108,37.60185,인천광역시 서구 왕길동
159,3202,왕길,인천2호선,126.642696,37.59518,인천광역시 서구 왕길동
160,3201,검단오류(검단산업단지),인천2호선,126.627178,37.594877,인천광역시 서구 오류동
161,3139,송도달빛축제공원,인천1호선,126.62597,37.407143,인천광역시 연수구 송도동
162,3138,국제업무지구,인천1호선,126.630347,37.399907,인천광역시 연수구 송도동
163,3137,센트럴파크,인천1호선,126.634729,37.393054,인천광역시 연수구 송도동
164,3136,인천대입구,인천1호선,126.639484,37.386007,인천광역시 연수구 송도동
165,3135,지식정보단지,인천1호선,126.645168,37.378384,인천광역시 연수구 송도동
166,3134,테크노파크,인천1호선,126.656365,37.382268,인천광역시 연수구 송도동
167,3133,캠퍼스타운,인천1호선,126.661673,37.387855,인천광역시 연수구 송도동
168,3132,동막,인천1호선,126.674005,37.397878,인천광역시 남동구 고잔동
169,3131,동춘,인천1호선,126.681015,37.404737,인천광역시 연수구 동춘동
170,3130,원인재,인천1호선,126.687869,37.412333,인천광역시 연수구 연수동
171,3129,신연수,인천1호선,126.693863,37.41804,인천광역시 연수구 연수동
172,3128,선학,인천1호선,126.698863,37.426684,인천광역시 연수구 선학동
173,3127,문학경기장,인천1호선,126.698579,37.434935,인천광역시 연수구 선학동
174,3126,인천터미널,인천1호선,126.699706,37.442383,인천광역시 미추홀구 관교동
175,3125,예술회관,인천1호선,126.701012,37.449396,인천광역시 남동구 구월동
176,3124,인천시청,인천1호선,126.702143,37.457263,인천광역시 남동구 간석동
177,3123,간석오거리,인천1호선,126.707938,37.467048,인천광역시 남동구 간석동
178,3122,부평삼거리,인천1호선,126.710208,37.477679,인천광역시 부평구 십정동
179,3121,동수,인천1호선,126.718247,37.485312,인천광역시 부평구 부평동
180,3120,부평,인천1호선,126.723453,37.490535,인천광역시 부평구 부평동
181,3119,부평시장,인천1호선,126.722244,37.498383,인천광역시 부평구 부평동
182,3118,부평구청,인천1호선,126.720555,37.508407,인천광역시 부평구 청천동
183,3117,갈산,인천1호선,126.721514,37.517268,인천광역시 부평구 청천동
184,3116,작전,인천1호선,126.722527,37.530415,인천광역시 계양구 작전동
185,3115,경인교대입구,인천1호선,126.722597,37.538157,인천광역시 계양구 계산동
186,3114,계산,인천1호선,126.728128,37.543238,인천광역시 계양구 계산동
187,3113,임학,인천1호선,126.738665,37.545059,인천광역시 계양구 임학동
188,3112,박촌,인천1호선,126.745077,37.553703,인천광역시 계양구 박촌동
189,3111,귤현,인천1호선,126.742654,37.566379,인천광역시 계양구 귤현동
190,3110,계양,인천1호선,126.73578,37.571449,인천광역시 계양구 귤현동
191,2828,남위례,8호선,127.13977,37.4624,경기도 성남시 수정구 복정동
192,2827,모란,8호선,127.129837,37.433824,경기도 성남시 중원구 성남동
193,2826,수진,8호선,127.140722,37.437428,경기도 성남시 중원구 성남동
194,2825,신흥,8호선,127.147564,37.440918,경기도 성남시 수정구 신흥동
195,2824,단대오거리,8호선,127.156866,37.44521,경기도 성남시 중원구 금광동
196,2823,남한산성입구(성남법원.검찰청),8호선,127.159816,37.451535,경기도 성남시 중원구 금광동
197,2822,산성,8호선,127.149908,37.457122,경기도 성남시 수정구 창곡동
198,2821,복정,8호선,127.126732,37.471052,서울특별시 송파구 장지동
199,2820,장지,8호선,127.126191,37.478703,서울특별시 송파구 장지동
200,2819,문정,8호선,127.1225,37.485855,서울특별시 송파구 문정동
201,2818,가락시장,8호선,127.118398,37.492888,서울특별시 송파구 가락동
202,2817,송파,8호선,127.112183,37.499703,서울특별시 송파구 가락동
203,2816,석촌,8호선,127.106832,37.505557,서울특별시 송파구 석촌동
204,2815,잠실(송파구청),8호선,127.104338,37.514692,서울특별시 송파구 신천동
205,2814,몽촌토성(평화의문),8호선,127.112359,37.517409,서울특별시 송파구 신천동
206,2813,강동구청,8호선,127.120508,37.530341,서울특별시 강동구 성내동
207,2812,천호(풍납토성),8호선,127.123254,37.538113,서울특별시 강동구 성내동
208,2811,암사,8호선,127.127562,37.55021,서울특별시 강동구 암사동
209,2761,부평구청,7호선,126.721599,37.507394,인천광역시 부평구 부평동
210,2760,굴포천,7호선,126.73128,37.506997,인천광역시 부평구 갈산동
211,2759,삼산체육관,7호선,126.742153,37.506411,인천광역시 부평구 부개동
212,2758,상동,7호선,126.753083,37.505781,경기도 부천시 상동
213,2757,부천시청,7호선,126.763538,37.504631,경기도 부천시 중동
214,2756,신중동,7호선,126.77596,37.503048,경기도 부천시 중동
215,2755,춘의,7호선,126.787036,37.503663,경기도 부천시 춘의동
216,2754,부천종합운동장,7호선,126.797337,37.50538,경기도 부천시 춘의동
217,2753,까치울,7호선,126.810939,37.506207,경기도 부천시 춘의동
218,2752,온수(성공회대입구),7호선,126.823023,37.492092,서울특별시 구로구 온수동
219,2751,천왕,7호선,126.838713,37.486637,서울특별시 구로구 천왕동
220,2750,광명사거리,7호선,126.854876,37.479252,경기도 광명시 광명동
221,2749,철산,7호선,126.867911,37.47605,경기도 광명시 철산동
222,2748,가산디지털단지,7호선,126.882656,37.480338,서울특별시 금천구 가산동
223,2747,남구로,7호선,126.887249,37.486056,서울특별시 구로구 구로동
224,2746,대림(구로구청),7호선,126.897075,37.493013,서울특별시 영등포구 대림동
225,2745,신풍,7호선,126.90993,37.50008,서울특별시 영등포구 신길동
226,2744,보라매,7호선,126.920428,37.499872,서울특별시 동작구 대방동
227,2743,신대방삼거리,7호선,126.928276,37.499701,서울특별시 동작구 대방동
228,2742,장승배기,7호선,126.93915,37.504898,서울특별시 동작구 상도동
229,2741,상도,7호선,126.94791,37.502834,서울특별시 동작구 상도1동
230,2740,숭실대입구(살피재),7호선,126.953822,37.496029,서울특별시 동작구 상도동
231,2739,남성,7호선,126.971251,37.484596,서울특별시 동작구 사당동
232,2738,이수,7호선,126.981605,37.485196,서울특별시 동작구 사당동
233,2737,내방,7호선,126.993513,37.487618,서울특별시 서초구 방배동
234,2736,고속터미널,7호선,127.005068,37.503367,서울특별시 서초구 반포동
235,2735,반포,7호선,127.011727,37.508178,서울특별시 서초구 반포동
236,2734,논현,7호선,127.021415,37.511093,서울특별시 강남구 논현동
237,2733,학동,7호선,127.031656,37.514229,서울특별시 강남구 논현동
238,2732,강남구청,7호선,127.041255,37.517179,서울특별시 강남구 논현동
239,2731,청담,7호선,127.05335,37.519365,서울특별시 강남구 삼성동
240,2730,뚝섬유원지,7호선,127.066704,37.53154,서울특별시 광진구 자양동
241,2729,건대입구,7호선,127.071011,37.540786,서울특별시 광진구 화양동
